hi,[хай],привет
hello,[хэлОу],здравствуйте
sorry,[сOри],извините
please,[пли:з],пожалуйста
thank you,[сэнк ю],спасибо
you are welcome,[ю: а уЭлкэм],не за что
what a pity,[уот э пИти],как жаль
goodbye,[(гуд)бAй],до свидания
people,[пи:пл],люди
man,[мэн],мужчина
woman,[уУмэн],женщина
child,[чайлд],ребёнок
boy,[бой],мальчик
girl,[гё:рл],девочка
guy,[гай],парень
friend,[фрэнд],друг
acquaintance,[экуЭйнтэнс],знакомый
neighbor,[нЭйбэр],сосед
guest,[гэст],гость
chief,[чи:ф],начальник
boss,[бос],босс
competitor,[кэмпЭтитэр],конкурент;соперник
client,[клАйэнт],клиент
colleague,[кОли:г],коллега
family,[фЭмили],семья
parents,[пЭэрэнтс],родители
father,[фА:зэр],отец
dad (dy),[дЭд (и)],папа
mother,[мАзэр],мать
mum (my),[мам (и)],мама
husband,[хАзбэнд],муж
wife,[уАйф],жена
son,[сан],сын
daughter,[дО:тэр],дочь
brother,[брАзэр],брат
sister,[сИстэр],сестра
grandfather,[грЭнфА:зэр],дед
father-in-law,[фА:зэр ин лО:],тесть;свекор
uncle,[анкл],дядя
aunt,[а:нт],тётя
cousin,[казн],двоюродный брат;двоюродная сестра
nephew,[нЭфъю:],племянник
niece,[ни:с],племянница
job,[джоб],работа
businessman,[бИзнэсмэн],бизнесмен
teacher,[тИ:чэр],учитель
driver,[дрАйвэр],водитель
worker,[уО:ркэр],рабочий
engineer,[энджинИ:эр],инженер
doctor,[дОктэр],врач
lawyer,[лО:ер],адвокат;юрист
journalist,[джЁ:рнэлист],журналист
nurse,[нё:рс],медсестра
shop assistаnt,[шОп эсИстэнт],продавец
waiter,[уЭйтэр],официант
accountant,[экАунтэнт],бухгалтер
artist,[А:ртист],художник
musician,[мъю:зИшн],музыкант
actor,[Эктэр],актер
student,[стъЮдэнт],студент
pupil,[пъюпл],школьник;ученик
animal,[Энимэл],животное
cat,[кэт],кошка
dog,[дог],собака
bird,[бё:рд],птица
squirrel,[скуИрэл],белка
wolf,[уулф],волк
goose,[гу:с],гусь
giraffe,[джирА:ф],жираф
rabbit,[рЭбит],кролик;заяц
cow,[кАу],корова
rat,[рЭт],крыса
fox,[фокс],лиса
horse,[хо:рс],лошадь
frog,[фрог],лягушка
bear,[бЭэр],медведь
mouse,[мАус],мышь
monkey,[мАнки],обезьяна
pig,[пиг],свинья
elephant,[Элэфэнт],слон
duck,[дак],утка
country,[кантри],страна;сельская местность
Russia,[рАшэ],Россия
Great Britain,[грЭйт брИтэн],Великобритания
England,[Инглэнд],Англия
city,[сИти],город
house,[хАус],дом
home,[хОум],дом
building,[бИлдинг],здание;строительство
place,[плэйс],место;помещать
entrance,[Энтрэнс],вход
exit,[Эгзит],выход
center,[сЭнтэр],центр
yard,[я:рд],двор
roof,[ру:ф],крыша
fence,[фэнс],забор
land,[лэнд],земля;участок
village,[вИлидж],деревня;поселок
school,[ску:л],школа
university,[юнивЁ:рсити],университет
theater,[сИ:этэр],театр
church,[чё:рч],церковь
restaurant,[рЭстронт],ресторан
cafe,[кЭфэй],кафе
hotel,[хоутЭл],гостиница
bank,[бэнк],банк
cinema,[сИнэмэ],кинотеатр
hospital,[хОспитл],больница
police,[пОлис],полиция
post office,[пОуст Офис],почта
station,[стэйшн],станция; вокзал
airport,[Ээпо:рт],аэропорт
shop,[шоп],магазин
pharmacy,[фА:рмаси],аптека
market,[мА:ркит],рынок
office,[Офис],офис
company,[кОмпэни],компания; фирма
factory,[фЭктэри],предприятие; завод; фабрика
square,[скуЭэр],площадь
street,[стри:т],улица
road,[рОуд],дорога
crossroads,[крОсроудз],перекрёсток
stop,[стоп],остановка; останавливаться
sidewalk,[сАйдуо:к],тротуар
path,[па:с],тропа; тропинка
garden,[га:рдн],сад
park,[па:рк],парк
bridge,[бридж],мост
river,[рИвэр],река
forest,[фОрист],лес
field,[фи:лд],поле
mountain,[мАунтин],гора
lake,[лэйк],озеро
sea,[си:],море
ocean,[Оушн],океан
coast,[кОуст],морской берег; побережье
beach,[би:ч],пляж
sand,[сэнд],песок
island,[Айлэнд],остров
border,[бО:рдэр],граница
customs,[кАстэмз],таможня
garbage,[гА:рбидж],мусор
waste,[уэйст],отходы; тратить впустую
stone,[стОун],камень
plant,[плА:нт],растение; завод; сажать
tree,[три:],дерево
grass,[гра:с],трава
flower,[флАуэр],цветок
leaf,[ли:ф],лист (дерева)
flat,[флэт],квартира
room,[рум],комната
living room,[лИвинг рум],зал
bedroom,[бЭдрум],спальня
bathroom,[бА:срум],ванная
shower,[шАуэр],душ
toilet,[тОйлит],туалет
kitchen,[кИтчин],кухня
hall,[хо:л],коридор
balcony,[бЭлкони],балкон
floor,[фло:р],пол; этаж
ceiling,[сИ:линг],потолок
wall,[уО:л],стена
stairs,[стЭэрз],ступеньки; лестница
door,[до:р],дверь
window,[уИндоу],окно
windowsill,[уИндоусил],подоконник
curtain,[кЁртэн],занавес (ка); штора
switch,[cуИч],выключатель; переключать
socket,[сОкит],розетка
faucet,[фО:сит],(водопроводный) кран
pipe,[пайп],труба; трубка
chimney,[чИмни],дымовая труба
furniture,[фЁ:ничэ],мебель
table,[тэйбл],стол
chair,[чЭэр],стул
armchair,[А:рмчээр],кресло
sofa,[сОуфа],диван
bed,[бэд],кровать
wardrobe,[уО:дроуб],(платяной) шкаф
cabinet,[кЭбинэт],шкаф (чик)
shelf,[шэлф],полка
mirror,[мИрор],зеркало
carpet,[кА:рпит],ковер
fridge,[фридж],холодильник
microwave,[мАйкроууэйв],микроволновка
oven,[Авэн],печь; духовка
stove,[стОув],кухонная плита
food,[фу:д],еда
bread,[брэд],хлеб
butter,[бАтэр],масло
oil,[ойл],растительное масло; нефть
cheese,[чи:з],сыр
sausage,[сОсидж],колбаса; сосиска
ham,[хэм],ветчина
meat,[ми:т],мясо
beef,[би:ф],говядина
pork,[по:рк],свинина
lamb,[лэм],баранина; ягненок
chicken,[чИкин],цыпленок; курица
cutlet,[кАтлит],котлета
fish,[фиш],рыба; рыбачить
egg,[эг],яйцо
salad,[сЭлэд],салат
mushroom,[мАшрум],гриб
corn,[ко:рн],кукуруза; зерно
porridge,[пОридж],каша
oatmeal,[Оутми:л],овсянка
soup,[су:п],суп
sandwich,[сЭндуич],бутерброд
rice,[райс],рис
noodles,[ну:длз],лапша
flour,[флАуэр],мука
spice,[спайс],специя; пряность
pepper,[пЭпэр],перец; поперчить
salt,[со:лт],соль; посолить
onion,[Аниэн],лук (репчатый)
garlic,[гА:рлик],чеснок
sauce,[сО:с],соус
vegetables,[вЭджитэблз],овощи
potatoes,[потЭйтоуз],картофель
carrot,[кЭрэт],морковь
beet,[би:т],свекла
tomato,[томA:тоу],помидор
cucumber,[къЮкамбэр],огурец
cabbage,[кЭбидж],капуста
squash,[скуОш],кабачок
eggplant,[Эгпла:нт],баклажан
beans,[би:нз],бобы
pea,[пи:],горох
nut,[нат],орех
fruit,[фру:т],фрукт (ы); плод
apple,[эпл],яблоко
pear,[пЭэр],груша
banana,[бэнЭнэ],банан
berry,[бЭри],ягода
strawberry,[стрО:бэри],клубника; земляника
raspberry,[рА:збэри],малина
cherry,[чЭри],вишня
plum,[плам],слива
grape,[грэйп],виноград
apricot,[Эйприкот],абрикос
peach,[пи:ч],персик
melon,[мЭлон],дыня
watermelon,[уOтэрмэлэн],арбуз
pumpkin,[пАмпкин],тыква
orange,[Oриндж],апельсин; оранжевый
mandarin,[мЭндэрин],мандарин
lemon,[лЭмон],лимон
pineapple,[пАйнэпл],ананас
sugar,[шУгэ],сахар